"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","TCP Segment Len","Window size value","Acknowledgment number","Info"
"18","0.423072","192.168.137.72","121.51.46.115","TCP","54","38492","14000","0","449","2","[TCP ACKed unseen segment] 38492  >  14000 [RST, ACK] Seq=1 Ack=2 Win=449 Len=0"
"19","0.428160","192.168.137.72","192.168.137.1","DNS","72","","","","","","Standard query 0xc50b A ap.iustu.com"
"20","0.498343","54.225.153.41","192.168.137.72","TLSv1.2","117","443","47865","51","119","1","Change Cipher Spec, Encrypted Handshake Message"
"21","0.531512","192.168.137.1","192.168.137.72","DNS","447","","","","","","Standard query response 0xc50b A ap.iustu.com A 148.70.129.39 NS dns9.hichina.com NS dns10.hichina.com A 106.11.141.115 A 106.11.141.125 A 106.11.211.55 A 106.11.211.65 A 140.205.41.15 A 140.205.41.25 A 140.205.81.15 A 140.205.81.25 AAAA 2400:3200:2000:28::1 A 106.11.141.116 A 106.11.141.126 A 106.11.211.56 A 106.11.211.66 A 140.205.41.16 A 140.205.41.26 A 140.205.81.16 A 140.205.81.26 AAAA 2400:3200:2000:29::1"
"22","0.536828","192.168.137.72","148.70.129.39","TCP","74","47030","80","0","65535","0","47030  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981736 TSecr=0 WS=256"
"23","0.603632","192.168.137.72","121.51.139.199","TCP","74","45985","8089","0","65535","0","45985  >  8089 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981742 TSecr=0 WS=256"
"24","0.621106","148.70.129.39","192.168.137.72","TCP","74","80","47030","0","28960","1","80  >  47030 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1424 SACK_PERM=1 TSval=917571168 TSecr=3981736 WS=128"
"25","0.622328","192.168.137.72","148.70.129.39","TCP","66","47030","80","0","343","1","47030  >  80 [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=3981744 TSecr=917571168"
"26","0.634592","192.168.137.72","148.70.129.39","HTTP","791","47030","80","725","343","1","GET / HTTP/1.1 "
"27","0.652115","121.51.139.199","192.168.137.72","TCP","66","8089","45985","0","13600","1","8089  >  45985 [SYN, ACK] Seq=0 Ack=1 Win=13600 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"28","0.653261","192.168.137.72","121.51.139.199","TCP","54","45985","8089","0","343","1","45985  >  8089 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"29","0.670784","182.254.74.17","192.168.137.72","TCP","54","8080","40753","0","16","1","8080  >  40753 [ACK] Seq=1 Ack=1 Win=16 Len=0"
"30","0.672013","192.168.137.72","182.254.74.17","TCP","54","40753","8080","0","347","2","[TCP ACKed unseen segment] 40753  >  8080 [ACK] Seq=1 Ack=2 Win=347 Len=0"
"31","0.718767","148.70.129.39","192.168.137.72","TCP","66","80","47030","0","238","726","80  >  47030 [ACK] Seq=1 Ack=726 Win=30464 Len=0 TSval=917571265 TSecr=3981745"
"32","0.724143","148.70.129.39","192.168.137.72","TCP","1478","80","47030","1412","238","726","80  >  47030 [ACK] Seq=1 Ack=726 Win=30464 Len=1412 TSval=917571271 TSecr=3981745 [TCP segment of a reassembled PDU]"
"33","0.724211","148.70.129.39","192.168.137.72","HTTP","319","80","47030","253","238","726","HTTP/1.1 200 OK  (text/html)"
"34","0.725092","192.168.137.72","148.70.129.39","TCP","66","47030","80","0","354","1413","47030  >  80 [ACK] Seq=726 Ack=1413 Win=90624 Len=0 TSval=3981754 TSecr=917571271"
"35","0.726405","192.168.137.72","148.70.129.39","TCP","66","47030","80","0","365","1666","47030  >  80 [ACK] Seq=726 Ack=1666 Win=93440 Len=0 TSval=3981754 TSecr=917571271"
"36","0.731822","192.168.137.72","183.232.95.52","TCP","96","38212","14000","42","513","1","38212  >  14000 [PSH, ACK] Seq=1 Ack=1 Win=513 Len=42"
"37","0.738256","192.168.137.72","121.51.46.115","TCP","74","49935","8080","0","65535","0","49935  >  8080 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981756 TSecr=0 WS=256"
"38","0.775053","192.168.137.72","192.168.137.1","DNS","80","","","","","","Standard query 0xa01f A adfilter.imtt.qq.com"
"39","0.775262","183.232.95.52","192.168.137.72","TCP","54","14000","38212","0","14","43","14000  >  38212 [ACK] Seq=1 Ack=43 Win=14 Len=0"
"40","0.776141","183.232.95.52","192.168.137.72","TCP","88","14000","38212","34","14","43","14000  >  38212 [PSH, ACK] Seq=1 Ack=43 Win=14 Len=34"
"41","0.776910","192.168.137.72","183.232.95.52","TCP","54","38212","14000","0","513","35","38212  >  14000 [ACK] Seq=43 Ack=35 Win=513 Len=0"
"42","0.777501","192.168.137.1","192.168.137.72","DNS","386","","","","","","Standard query response 0xa01f A adfilter.imtt.qq.com CNAME sparta.qb.mig.tencent-cloud.net A 121.51.132.21 NS ns-open3.qq.com NS ns-open1.qq.com NS ns-open2.qq.com A 59.36.132.139 A 103.7.30.126 A 120.204.1.100 A 182.254.48.197 A 182.254.116.5 A 58.251.121.188 A 125.39.46.36 A 180.163.22.39 A 203.205.220.25 A 58.246.221.60 A 121.51.167.100"
"43","0.779378","192.168.137.72","121.51.132.21","TCP","74","38016","80","0","65535","0","38016  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981760 TSecr=0 WS=256"
"44","0.781498","121.51.46.115","192.168.137.72","TCP","66","8080","49935","0","13600","1","8080  >  49935 [SYN, ACK] Seq=0 Ack=1 Win=13600 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"45","0.782505","192.168.137.72","121.51.46.115","TCP","54","49935","8080","0","343","1","49935  >  8080 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"46","0.782714","192.168.137.72","121.51.46.115","HTTP","955","49935","8080","901","343","1","POST /?tk=b5d924885e36a0b3f78bad5707318ece677629a3b178e366c7a01e3e04de8db6323f6e7f03b881db21133b1bf2ae5bc5&iv=b7b813b7dfaf8f8b&encrypt=17 HTTP/1.1  (application/multipart-formdata)"
"47","0.791185","192.168.137.72","192.168.137.1","DNS","80","","","","","","Standard query 0xa6ae A cdnjs.cloudflare.com"
"48","0.793790","192.168.137.1","192.168.137.72","DNS","554","","","","","","Standard query response 0xa6ae A cdnjs.cloudflare.com A 104.17.64.4 A 104.17.65.4 NS ns4.cloudflare.com NS ns6.cloudflare.com NS ns7.cloudflare.com NS ns3.cloudflare.com NS ns5.cloudflare.com A 162.159.0.33 A 162.159.7.226 AAAA 2400:cb00:2049:1::a29f:7e2 AAAA 2400:cb00:2049:1::a29f:21 A 162.159.9.55 A 162.159.2.9 AAAA 2400:cb00:2049:1::a29f:937 AAAA 2400:cb00:2049:1::a29f:209 A 162.159.1.33 A 162.159.8.55 AAAA 2400:cb00:2049:1::a29f:837 AAAA 2400:cb00:2049:1::a29f:121 A 162.159.5.6 A 162.159.3.11 AAAA 2400:cb00:2049:1::a29f:506 AAAA 2400:cb00:2049:1::a29f:30b"
"49","0.794953","192.168.137.72","148.70.129.39","TCP","74","47038","80","0","65535","0","47038  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981761 TSecr=0 WS=256"
"50","0.802414","192.168.137.72","148.70.129.39","HTTP","748","47030","80","682","365","1666","GET /static/styles.css HTTP/1.1 "
"51","0.803682","192.168.137.72","104.17.64.4","TCP","74","41727","80","0","65535","0","41727  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981762 TSecr=0 WS=256"
"52","0.804196","192.168.137.72","104.17.64.4","TCP","74","41729","80","0","65535","0","41729  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981762 TSecr=0 WS=256"
"53","0.804874","192.168.137.72","104.17.64.4","TCP","74","41731","80","0","65535","0","41731  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981762 TSecr=0 WS=256"
"54","0.806715","192.168.137.72","104.17.64.4","TCP","74","41733","80","0","65535","0","41733  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981763 TSecr=0 WS=256"
"55","0.808421","192.168.137.72","148.70.129.39","TCP","74","47048","80","0","65535","0","47048  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981763 TSecr=0 WS=256"
"56","0.810074","192.168.137.72","148.70.129.39","TCP","74","47050","80","0","65535","0","47050  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981763 TSecr=0 WS=256"
"57","0.812141","192.168.137.72","192.168.137.1","DNS","75","","","","","","Standard query 0x9d4b A cdn.bootcss.com"
"58","0.826935","121.51.132.21","192.168.137.72","TCP","66","80","38016","0","13600","1","80  >  38016 [SYN, ACK] Seq=0 Ack=1 Win=13600 Len=0 MSS=1360 SACK_PERM=1 WS=1024"
"59","0.827007","121.51.46.115","192.168.137.72","TCP","54","8080","49935","0","16","902","8080  >  49935 [ACK] Seq=1 Ack=902 Win=16384 Len=0"
"60","0.828093","192.168.137.72","121.51.132.21","TCP","54","38016","80","0","343","1","38016  >  80 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"61","0.828590","192.168.137.72","121.51.132.21","HTTP","774","38016","80","720","343","1","POST /nct HTTP/1.1  (application/x-www-form-urlencoded)"
"62","0.836496","121.51.46.115","192.168.137.72","HTTP","465","8080","49935","411","16","902","HTTP/1.1 200 OK  (application/multipart-formdata)"
"63","0.837419","192.168.137.72","121.51.46.115","TCP","54","49935","8080","0","347","412","49935  >  8080 [ACK] Seq=902 Ack=412 Win=88832 Len=0"
"64","0.838441","192.168.137.72","121.51.46.115","TCP","54","49935","8080","0","347","412","49935  >  8080 [FIN, ACK] Seq=902 Ack=412 Win=88832 Len=0"
"65","0.840729","192.168.137.1","192.168.137.72","DNS","455","","","","","","Standard query response 0x9d4b A cdn.bootcss.com CNAME cdn.bootcss.com.maoyundns.com CNAME cdn.bootcss.com.cdn.dnsv1.com CNAME 1629826.p23.tc.cdntip.com A 222.24.122.18 NS ns-open1.qq.com NS ns-open3.qq.com NS ns-open2.qq.com A 120.204.1.100 A 59.36.132.139 A 103.7.30.126 A 58.251.121.188 A 182.254.48.197 A 182.254.116.5 A 203.205.220.25 A 58.246.221.60 A 121.51.167.100 A 125.39.46.36 A 180.163.22.39"
"66","0.842867","192.168.137.72","222.24.122.18","TCP","74","47936","443","0","65535","0","47936  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3981766 TSecr=0 WS=256"
"67","0.857922","222.24.122.18","192.168.137.72","TCP","66","443","47936","0","14600","1","443  >  47936 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1448 SACK_PERM=1 WS=128"
"68","0.858903","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","343","1","47936  >  443 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"69","0.859116","192.168.137.72","222.24.122.18","TLSv1.2","257","47936","443","203","343","1","Client Hello"
"70","0.873534","222.24.122.18","192.168.137.72","TCP","54","443","47936","0","123","204","443  >  47936 [ACK] Seq=1 Ack=204 Win=15744 Len=0"
"71","0.874876","222.24.122.18","192.168.137.72","TLSv1.2","1502","443","47936","1448","123","204","Server Hello"
"72","0.874964","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","123","204","443  >  47936 [ACK] Seq=1449 Ack=204 Win=15744 Len=1448 [TCP segment of a reassembled PDU]"
"73","0.874991","222.24.122.18","192.168.137.72","TLSv1.2","976","443","47936","922","123","204","Certificate, Server Key Exchange, Server Hello Done"
"74","0.875014","121.51.132.21","192.168.137.72","TCP","54","80","38016","0","15","721","80  >  38016 [ACK] Seq=1 Ack=721 Win=15360 Len=0"
"75","0.876004","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","354","1449","47936  >  443 [ACK] Seq=204 Ack=1449 Win=90624 Len=0"
"76","0.876923","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","365","2897","47936  >  443 [ACK] Seq=204 Ack=2897 Win=93440 Len=0"
"77","0.876925","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","377","3819","47936  >  443 [ACK] Seq=204 Ack=3819 Win=96512 Len=0"
"78","0.878043","192.168.137.72","222.24.122.18","TLSv1.2","147","47936","443","93","377","3819","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"79","0.881902","121.51.46.115","192.168.137.72","TCP","54","8080","49935","0","16","903","8080  >  49935 [FIN, ACK] Seq=412 Ack=903 Win=16384 Len=0"
"80","0.882932","192.168.137.72","121.51.46.115","TCP","54","49935","8080","0","347","413","49935  >  8080 [ACK] Seq=903 Ack=413 Win=88832 Len=0"
"81","0.883123","148.70.129.39","192.168.137.72","TCP","74","80","47038","0","28960","1","80  >  47038 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1424 SACK_PERM=1 TSval=917571426 TSecr=3981761 WS=128"
"82","0.884553","192.168.137.72","148.70.129.39","TCP","66","47038","80","0","343","1","47038  >  80 [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=3981770 TSecr=917571426"
"83","0.884835","192.168.137.72","148.70.129.39","HTTP","757","47038","80","691","343","1","GET /static/layui/css/layui.css HTTP/1.1 "
"84","0.890649","148.70.129.39","192.168.137.72","TCP","1478","80","47030","1412","249","1408","80  >  47030 [ACK] Seq=1666 Ack=1408 Win=31872 Len=1412 TSval=917571437 TSecr=3981762 [TCP segment of a reassembled PDU]"
"85","0.890685","148.70.129.39","192.168.137.72","HTTP","972","80","47030","906","249","1408","HTTP/1.1 200 OK  (text/css)"
"86","0.891909","192.168.137.72","148.70.129.39","TCP","66","47030","80","0","376","3078","47030  >  80 [ACK] Seq=1408 Ack=3078 Win=96256 Len=0 TSval=3981771 TSecr=917571437"
"87","0.892034","192.168.137.72","148.70.129.39","TCP","66","47030","80","0","387","3984","47030  >  80 [ACK] Seq=1408 Ack=3984 Win=99072 Len=0 TSval=3981771 TSecr=917571437"
"88","0.892778","222.24.122.18","192.168.137.72","TLSv1.2","328","443","47936","274","123","297","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"89","0.892811","222.24.122.18","192.168.137.72","TLSv1.2","123","443","47936","69","123","297","Application Data"
"90","0.894304","192.168.137.72","148.70.129.39","HTTP","737","47030","80","671","387","3984","GET /static/layui/layui.js HTTP/1.1 "
"91","0.898103","148.70.129.39","192.168.137.72","TCP","74","80","47048","0","28960","1","80  >  47048 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1424 SACK_PERM=1 TSval=917571444 TSecr=3981763 WS=128"
"92","0.898311","192.168.137.72","222.24.122.18","TLSv1.2","107","47936","443","53","388","4162","Application Data"
"93","0.898793","192.168.137.72","222.24.122.18","TLSv1.2","110","47936","443","56","388","4162","Application Data"
"94","0.898794","192.168.137.72","222.24.122.18","TLSv1.2","96","47936","443","42","388","4162","Application Data"
"95","0.899348","192.168.137.72","148.70.129.39","TCP","66","47048","80","0","343","1","47048  >  80 [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=3981772 TSecr=917571444"
"96","0.903616","148.70.129.39","192.168.137.72","TCP","74","80","47050","0","28960","1","80  >  47050 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1424 SACK_PERM=1 TSval=917571446 TSecr=3981763 WS=128"
"97","0.904680","192.168.137.72","148.70.129.39","TCP","66","47050","80","0","343","1","47050  >  80 [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=3981772 TSecr=917571446"
"98","0.909039","192.168.137.72","222.24.122.18","TLSv1.2","92","47936","443","38","388","4162","Application Data"
"99","0.909254","192.168.137.72","222.24.122.18","TLSv1.2","322","47936","443","268","388","4162","Application Data"
"100","0.909533","192.168.137.72","148.70.129.39","HTTP","741","47048","80","675","343","1","GET /static/layui/layui.all.js HTTP/1.1 "
"101","0.913215","222.24.122.18","192.168.137.72","TCP","54","443","47936","0","123","448","443  >  47936 [ACK] Seq=4162 Ack=448 Win=15744 Len=0"
"102","0.913252","222.24.122.18","192.168.137.72","TLSv1.2","92","443","47936","38","123","448","Application Data"
"103","0.915839","121.51.132.21","192.168.137.72","HTTP","242","80","38016","188","15","721","HTTP/1.1 200 OK "
"104","0.917176","192.168.137.72","121.51.132.21","TCP","54","38016","80","0","347","189","38016  >  80 [ACK] Seq=721 Ack=189 Win=88832 Len=0"
"105","0.923113","222.24.122.18","192.168.137.72","TCP","54","443","47936","0","131","754","443  >  47936 [ACK] Seq=4200 Ack=754 Win=16768 Len=0"
"106","0.925326","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=4200 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"107","0.925360","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=5648 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"108","0.925379","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=7096 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"109","0.925398","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=8544 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"110","0.925418","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=9992 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"111","0.925441","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=11440 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"112","0.925464","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=12888 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"113","0.925482","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=14336 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"114","0.925499","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=15784 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"115","0.925516","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=17232 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"116","0.925534","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=18680 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"117","0.925568","222.24.122.18","192.168.137.72","TLSv1.2","539","443","47936","485","131","754","Application Data"
"118","0.925586","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=20613 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"119","0.925604","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=22061 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"120","0.928488","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","399","5648","47936  >  443 [ACK] Seq=754 Ack=5648 Win=102144 Len=0"
"121","0.928690","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","422","8544","47936  >  443 [ACK] Seq=754 Ack=8544 Win=108032 Len=0"
"122","0.928692","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","444","11440","47936  >  443 [ACK] Seq=754 Ack=11440 Win=113664 Len=0"
"123","0.928693","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","467","14336","47936  >  443 [ACK] Seq=754 Ack=14336 Win=119552 Len=0"
"124","0.929578","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=23509 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"125","0.929616","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=24957 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"126","0.929647","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=26405 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"127","0.929671","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=27853 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"128","0.929710","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=29301 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"129","0.929728","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=30749 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"130","0.929745","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=32197 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"131","0.929762","222.24.122.18","192.168.137.72","TCP","1502","443","47936","1448","131","754","443  >  47936 [ACK] Seq=33645 Ack=754 Win=16768 Len=1448 [TCP segment of a reassembled PDU]"
"132","0.929779","222.24.122.18","192.168.137.72","TLSv1.2","310","443","47936","256","131","754","Application Data, Application Data"
"133","0.929843","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","490","17232","47936  >  443 [ACK] Seq=754 Ack=17232 Win=125440 Len=0"
"134","0.929891","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","512","20128","47936  >  443 [ACK] Seq=754 Ack=20128 Win=131072 Len=0"
"135","0.930806","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","535","22061","47936  >  443 [ACK] Seq=754 Ack=22061 Win=136960 Len=0"
"136","0.932069","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","558","24957","47936  >  443 [ACK] Seq=754 Ack=24957 Win=142848 Len=0"
"137","0.932992","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","580","27853","47936  >  443 [ACK] Seq=754 Ack=27853 Win=148480 Len=0"
"138","0.932994","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","603","30749","47936  >  443 [ACK] Seq=754 Ack=30749 Win=154368 Len=0"
"139","0.932995","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","625","33645","47936  >  443 [ACK] Seq=754 Ack=33645 Win=160000 Len=0"
"140","0.933408","192.168.137.72","222.24.122.18","TCP","54","47936","443","0","648","35349","47936  >  443 [ACK] Seq=754 Ack=35349 Win=165888 Len=0"
"141","0.973208","148.70.129.39","192.168.137.72","TCP","66","80","47038","0","238","692","80  >  47038 [ACK] Seq=1 Ack=692 Win=30464 Len=0 TSval=917571516 TSecr=3981770"
"142","0.978801","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=1 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"143","0.978843","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=1413 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"144","0.978865","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=2825 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"145","0.978889","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=4237 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"146","0.978912","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=5649 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"147","0.979079","148.70.129.39","192.168.137.72","TCP","1215","80","47038","1149","238","692","80  >  47038 [PSH, ACK] Seq=7061 Ack=692 Win=30464 Len=1149 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"148","0.979116","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=8210 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"149","0.979139","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=9622 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"150","0.979159","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=11034 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"151","0.979189","148.70.129.39","192.168.137.72","TCP","1478","80","47038","1412","238","692","80  >  47038 [ACK] Seq=12446 Ack=692 Win=30464 Len=1412 TSval=917571520 TSecr=3981770 [TCP segment of a reassembled PDU]"
"152","0.980873","192.168.137.72","148.70.129.39","TCP","66","47038","80","0","354","1413","47038  >  80 [ACK] Seq=692 Ack=1413 Win=90624 Len=0 TSval=3981780 TSecr=917571520"
